# 来源：kajweb/dict GaoZhongluan_2（有道高考必备词汇，非官方新课标3500表）
# 格式：word|词性|中文释义。词性含 n/v/a/d 时分别控制生成复数/动词变形/比较级。
# 词条数：3665（跳过 3 条：词组、重复或非法字符）
just|a d n|adv 只是，仅仅；刚才，刚刚；正好，恰好；实在；刚要；adj 公正的，合理的；正直的，正义的；正确的；公平的；应得的
justice|n|n 司法，法律制裁；正义；法官，审判员
kangaroo|n|n 袋鼠
keep|n v|v 保持；经营；遵守；饲养；n 保持；生计；生活费
keeper|n|n 监护人；饲养员；看守人；管理人
kettle|n|n 壶；[化工] 釜；罐；鼓
key|a n v|n （打字机等的）键；关键；钥匙；v 键入；锁上；调节…的音调；提供线索
keyboard|n v|n 键盘；v 键入；用键盘式排字机排字
kick|n v|v 踢；反冲，朝后座；n 踢；反冲，后座力
kid|a n v|n 小孩；小山羊；v 欺骗；取笑；戏弄
kill|a n v|v 杀死；扼杀；使终止；抵消；n 杀戮；屠杀
kilo|n|n 千克
kilogram|n|n 公斤；千克
kilometre|n|n [计量] 公里；[计量] 千米
kind|a n|n 种类；性质；adj 和蔼的；宽容的；令人感激的
kindergarten|n|n 幼儿园；幼稚园
kindness|n|n 仁慈；好意；友好的行为
king|a n v|n 国王；最有势力者；王棋；vi 统治；做国王
kingdom|n|n 王国；界；领域
kiss|n v|v 吻；（风等）轻拂；n 吻；轻拂
kitchen|n|n 厨房；炊具；炊事人员
kite|n v|n 风筝；v 使用空头支票；像风筝一样飞；轻快地移动
knee|n v|n 膝盖，膝；v 用膝盖碰
knife|n v|n 刀；匕首；v 用刀切；（口）伤害
knock|n v|v 敲；打；敲击；n 敲；敲打；爆震声
know|v|v 知道；认识；懂得
knowledge|n|n 知识，学问；知道，认识；学科
lab|n|n 实验室，研究室
labour|n v|n 劳动力，人工；分娩；v 劳动；分娩；费力地前进
labourer|n|n 劳动者；劳工
lack|n v|v 缺乏；不足；没有；需要；n 缺乏；不足
ladder|n v|n 阶梯；途径；梯状物；v 成名；发迹
lady|n|n 女士，夫人；小姐；妻子
lake|n v|n 湖；深红色颜料；胭脂红；vt （使）血球溶解
lamb|n v|n 羔羊，小羊；羔羊肉；v 生小羊，产羔羊
lame|a v|adj 跛足的；僵痛的；不完全的；无说服力的；差劲的，蹩脚的；v 变跛
lamp|n v|n 灯；照射器；vt 照亮
land|n v|n 国土；陆地；地面；v 使…登陆；使…陷于；将…卸下
language|n|n 语言；语言文字；表达能力
lantern|n|n 灯笼；提灯；灯笼式天窗
lap|n v|n 一圈；膝盖；下摆；山坳；v 使重叠；拍打；包围
large|a d n|adj 大的；多数的；广博的；adv 大大地；夸大地
laser|n|n 激光
last|a d n v|n 末尾，最后；上个；鞋楦（做鞋的模型）；adj 最后的；最近的，最新的；仅剩的；最不可能…的
late|a d|adj 晚的；迟的；已故的；最近的；adv 晚；迟；最近；在晚期
later|a d n|adv 后来；稍后；随后；adj 更迟的；更后的
latest|a d n|adv 最迟地；最后地；n 最新的事物
latter|a n|adj 后者的；近来的；后面的；较后的；n (Latter)人名；(英、德、捷)拉特
laugh|n v|n 笑；引人发笑的事或人；v 笑
laughter|n|n 笑；笑声
laundry|n|n 洗衣店，洗衣房；要洗的衣服；洗熨；洗好的衣服
lavatory|n|n 厕所，盥洗室
law|n v|n 法律；规律；法治；法学；诉讼；司法界；vi 起诉；控告
lawyer|n|n 律师；法学家
lay|a n v|v 躺下；产卵；搁放；放置；铺放；涂，敷；adj 世俗的；外行的；没有经验的
lazy|a n|adj 懒惰的；懒洋洋的；怠惰的；慢吞吞的；n (Lazy)人名；(德)拉齐
lead|a n v|n 领导；铅；导线；榜样；v 领导；致使；引导；指挥
leader|n|n 领导者；首领；指挥者
leading|a n v|adj 领导的；主要的；n 领导；铅板；行距
leaf|n v|n 叶子；（书籍等的）一张；扇页；v 生叶；翻书页
league|n v|n 联盟；社团；范畴；v 使…结盟；与…联合
leak|n v|n 泄漏；漏洞，裂缝；v 使渗漏，泄露
learn|v|v 学习；得知；认识到
learned|a n|adj 博学的；有学问的；学术上的；n (Learned)人名；(英)勒尼德
least|a d n|adj 最小的；最少的（little的最高级）；adv 最小；最少
leather|a n v|n 皮革；皮革制品；v 用皮革包盖；抽打
leave|n v|v 离开；留下；遗忘；委托；n 许可，同意；休假
lecture|n v|n 演讲；讲稿；教训；v 演讲；训诫
left|a d n v|adj 左边的；左派的；剩下的；adv 在左面
leftover|a n|n 残留物；吃剩的饭菜；剩余物；adj 残余的；吃剩的
leg|n|n 腿；支柱
legal|a n|adj 法律的；合法的；法定的；依照法律的；n (Legal)人名；(法)勒加尔
lemon|a n|adj 柠檬色的；n 柠檬
lemonade|n|n 柠檬水
lend|n v|v 贷；增添，提供；把……借给；n (Lend)人名；(德)伦德
length|n|n 长度，长；时间的长短；（语）音长
less|a d n|adv 较少地；较小地；更小地；adj 较少的；较小的
lesson|n v|n 教训；课；vt 教训；上课
let|n v|v 允许，让；出租；假设；妨碍；n 障碍；出租屋
letter|n v|n 信；字母，文字；证书；文学，学问；字面意义；v 写字母于
level|a n v|n 水平；标准；水平面；adj 水平的；平坦的；同高的
liberate|v|v 解放；放出；释放
liberation|n|n 释放，解放
liberty|n|n 自由；许可；冒失
librarian|n|n 图书馆员；图书管理员
library|n|n 图书馆，藏书室；文库
license|n v|n 执照，许可证；特许；v 许可；特许；发许可证给
lid|n v|n 盖子；眼睑；限制；vt 给…盖盖子
lie|n v|v 躺；说谎；位于；展现；n 谎言；位置
life|n|n 生活，生存；寿命
lifetime|a n|n 一生；寿命；终生；使用期；adj 一生的；终身的
lift|n v|v 举起；提升；鼓舞；空运；抄袭；n 电梯；举起；起重机；搭车
light|a d n v|n 光；光线；灯；打火机；领悟；浅色；天窗；adj 轻的；浅色的；明亮的；轻松的；容易的；清淡的
lightning|a n v|adj 闪电的；快速的；n 闪电
like|a d n v|v 喜欢；想；愿意；prep 像；如同
likely|a d|adj 很可能的；合适的；有希望的；adv 很可能；或许
limit|n v|n 限制；限度；界线；v 限制；限定
line|n v|n 路线，航线；排；绳；v 排成一行；划线于；以线条标示；使…起皱纹
link|n v|n [计] 链环，环节；联系，关系；v 连接，连结；联合，结合
lion|n|n 狮子；名人；勇猛的人；社交场合的名流
lip|a n v|n 嘴唇；边缘；vt 以嘴唇碰
liquid|a n|adj 液体的；清澈的；明亮的；易变的；n 液体，流体；流音
list|n v|n [计] 列表；清单；目录；v 列于表上
listen|n v|v 听，倾听；听从，听信；n 听，倾听
literary|a|adj 文学的；书面的；精通文学的
literature|n|n 文学；文献；文艺；著作
litre|n|n [计量] 公升（米制容量单位）
litter|n v|n 垃圾；轿，担架；一窝（动物的幼崽）；凌乱；v 乱丢；给…垫褥草；把…弄得乱七八糟
little|a d n|adj 小的；很少的；短暂的；小巧可爱的；adv 完全不
live|a n v|adj 活的；生动的；实况转播的；精力充沛的；v 经历；度过
lively|a n|adj 活泼的；生动的；真实的；生气勃勃的；n (Lively)人名；(英)莱夫利
living|a n v|adj 活的；现存的；活跃的；逼真的；n 生活；生存；生计
load|n v|n 负载，负荷；工作量；装载量；v [力] 加载；装载；装货
loaf|n v|n 条，一条面包；块；游荡；v 游荡；游手好闲；虚度光阴
local|a n|n [计] 局部；当地居民；本地新闻；adj 当地的；局部的；地方性的；乡土的
lock|n v|v 锁，锁上；隐藏；n 锁；水闸；刹车
locust|n|n [植保] 蝗虫，[昆] 蚱蜢
london|n|n 伦敦
lonely|a n|adj 寂寞的；偏僻的；n 孤独者
long|a d n v|n 长时间；[语] 长音节；（服装的）长尺寸；长裤；adj 长的；过长的；做多头的；长时间的；冗长的，长音
look|n v|v 看；期待；注意；面向；看上去像；n 看；样子；面容
loose|a d n v|adj 宽松的；散漫的；不牢固的；不精确的；v 释放；开船；放枪
lorry|n|n （英）卡车；[车辆] 货车；运料车
lose|n v|v 浪费；使沉溺于；使迷路；遗失；错过；n (Lose)人名；(英)洛斯；(德)洛泽
loss|n|n 减少；亏损；失败；遗失
lost|a v|adj 失去的；丧失的；迷惑的；v 遗失（lose的过去分词）；失败
lot|d n v|n 份额；许多；命运；阄；adv （与形容词和副词连用）很，非常；（与动词连用）非常
loud|a d n|adj 大声的，高声的；不断的；喧吵的；adv 大声地，高声地，响亮地
loudly|d|adv 大声地，响亮地
loudspeaker|n|n 喇叭，扬声器；扩音器
lounge|n v|n 休息室；闲逛；躺椅；（英）酒吧间；v 闲逛；懒洋洋地躺卧；闲混
love|n v|n 恋爱；亲爱的；酷爱；喜爱的事物；爱情，爱意；疼爱；热爱；爱人，所爱之物；v 爱，热爱；爱戴；赞美，称赞；喜爱；喜好；喜欢；爱慕
lovely|a n|adj 可爱的；令人愉快的；爱恋的；秀丽的，优美的；n 美女；可爱的东西
low|a d n v|adj 低的，浅的；卑贱的；粗俗的；消沉的；adv 低声地；谦卑地，低下地
luck|n v|n 运气；幸运；带来好运的东西；v 靠运气，走运；凑巧碰上
lucky|a|adj 幸运的；侥幸的
luggage|n|n 行李；皮箱
lunch|n v|n 午餐；v 吃午餐；供给午餐
lung|n|n 肺；呼吸器
machine|n v|n 机械，机器；机构；机械般工作的人；v 用机器制造
mad|a n|adj 疯狂的；发疯的；愚蠢的；着迷的；n 狂怒
madam|n|n 夫人；女士；鸨母
magazine|n|n 杂志；弹药库；胶卷盒
magic|a n|n 巫术；魔法；戏法；adj 不可思议的；有魔力的；魔术的
maid|n v|n 女仆；少女；vt 侍候；做新娘的女傧相
mail|n v|n 邮件；邮政，邮递；盔甲；v 邮寄；给…穿盔甲
mailbox|n|n 邮箱；邮筒
main|a n|n 主要部分，要点；体力；总管道；adj 主要的，最重要的；全力的
mainland|a n|n 大陆；本土；adj 大陆的；本土的
major|a n v|adj 主要的；重要的；主修的；较多的；n [人类] 成年人；主修科目；陆军少校
majority|n|n 多数；成年
make|n v|v 使得；进行；布置，准备，整理；制造；认为；获得；形成；安排；引起；构成；n 制造；构造；性情
male|a n|adj 男性的；雄性的；有力的；n 男人；雄性动物
man|n v|n 人；男人；人类；丈夫；雇工；v 操纵；给…配置人员；使增强勇气；在…就位
manage|v|v 管理；经营；控制；设法
manager|n|n 经理；管理人员
mankind|n|n 人类；男性
manner|n|n 方式；习惯；种类；规矩；风俗
many|a n|pron 许多；许多人；adj 许多的
map|n v|v 映射；计划；绘制地图；确定基因在染色体中的位置；n 地图；示意图；染色体图
maple|n|n 枫树；淡棕色
marathon|a n v|n 马拉松赛跑；耐力的考验；adj 马拉松式的；有耐力的
marble|a n|n 大理石；大理石制品；弹珠；adj 大理石的；冷酷无情的
march|n v|v （坚定地向某地）前进；行军，进军；游行示威；进展，进行；n 行进，前进；行军；游行示威；进行曲
mark|n v|n 标志；马克；符号；痕迹；分数；v 作记号
market|n v|n 市场；行情；股票市场；市面；集市；销路；商店；v 在市场上出售
marriage|n|n 结婚；婚姻生活；密切结合，合并
married|a n v|adj 已婚的，有配偶的；婚姻的，夫妇的；密切结合的；n 已婚者
marry|n v|v 嫁；娶；与……结婚；n (Marry)人名；(阿拉伯)马雷；(法)马里
mask|n v|n 面具；口罩；掩饰；v 掩饰；戴面具；化装
mass|a n v|n 块，团；群众，民众；大量，众多；质量；adj 群众的，民众的；大规模的，集中的
master|a n v|v 控制；精通；征服；n 硕士；主人；大师；教师
mat|a n v|n 垫；垫子；衬边；v 缠结；铺席于……上
match|n v|v 使比赛；使相配；敌得过，比得上；相配；与…竞争；n 比赛，竞赛；匹配；对手；火柴
material|a n|adj 重要的；物质的，实质性的；肉体的；n 材料，原料；物资；布料
mathematics|n|n 数学；数学运算
matter|n v|n 物质；事件；v 有关系；要紧
mature|a v|adj 成熟的；充分考虑的；到期的；成年人的；v 成熟；到期
maximum|a n|n [数] 极大，最大限度；最大量；adj 最高的；最多的；最大极限的
may||aux 可以，能够；可能，也许；祝，愿；会，能
maybe|d n|adv 也许；可能；大概；n 可能性；不确定性
me|n|pron 我（宾格）；n 自我；极端自私的人；自我的一部分
meal|n v|n 一餐，一顿饭；膳食；vi 进餐
mean|a n v|adj 平均的；卑鄙的；低劣的；吝啬的；v 意味；想要；意欲
meaning|a n v|n 意义；含义；意图；adj 意味深长的
means|n v|n 手段；方法；财产；v 意思是；打算（mean的第三人称单数） [ 复数means ]
meanwhile|d n|adv 同时，其间；n 其间，其时
measure|n v|n 测量；措施；程度；尺寸；v 测量；估量；权衡
meat|n|n 肉，肉类（食用）
medal|n|n 勋章，奖章；纪念章
media|n|n 媒体；媒质（medium的复数）；血管中层；浊塞音；中脉
medical|a n|adj 医学的；药的；内科的；n 医生；体格检查
medicine|n v|n 药；医学；内科；巫术；v 用药物治疗；给…用药
medium|a n|adj 中间的，中等的；半生熟的；n 方法；媒体；媒介；中间物
meet|a n v|v 满足；遇见；对付；n 集会
meeting|n v|n 会议；会见；集会；汇合点；v 会面；会合（meet的ing形式）
melon|n|n 瓜；甜瓜；大肚子；圆鼓鼓像瓜似的东西
member|n|n 成员；会员；议员
memorial|a n|n 纪念碑，纪念馆；纪念仪式；纪念物；adj 记忆的；纪念的，追悼的
memorize|v|v 记住，背熟；记忆
memory|n|n 记忆，记忆力；内存，[计] 存储器；回忆
mend|n v|v 修理，修补；改善；修改；n 好转，改进；修补处
mental|a n|adj 精神的；脑力的；疯的；n 精神病患者
mentally|d|adv 精神上，智力上；心理上
mention|n v|v 提到，谈到；提及，论及；说起；n 提及，说起
menu|n|n 菜单
merchant|a n|n 商人，批发商；店主；adj 商业的，商人的
merciful|a|adj 仁慈的；慈悲的；宽容的
mercy|n|n 仁慈，宽容；怜悯；幸运；善行
merely|d|adv 仅仅，只不过；只是
merry|a n|adj 愉快的；微醉的；嬉戏作乐的；n 甜樱桃
mess|n v|n 混乱；食堂，伙食团；困境；脏乱的东西；v 弄乱，弄脏；毁坏；使就餐
message|n v|n 消息；差使；启示；预言；广告词；v 报信，报告；[通信] 报文
messy|a|adj 凌乱的，散乱的；肮脏的，污秽的；麻烦的
metal|a n v|n 金属；合金；v 以金属覆盖
method|a n|n 方法；条理；类函数；adj 使用体验派表演方法的
metre|n|n 米；公尺；韵律
mexican|a n|adj 墨西哥的；墨西哥人的；n 墨西哥人；墨西哥语
mexico|n|n 墨西哥
microcomputer|n|n 微电脑；[计] 微型计算机
microscope|n|n 显微镜
microwave|n|n 微波
midday|a n|n 中午；正午；adj 正午的
middle|a n|adj 中间的，中部的；中级的，中等的；n 中间，中央；腰部
midnight|a n|n 午夜，半夜12点钟；adj 半夜的；漆黑的
might|n v|n 力量；威力；势力；v 可以；或许（may的过去式）；应该
mild|a n|adj 温和的；轻微的；淡味的；文雅的；不含有害物质的的；n （英国的一种）淡味麦芽啤酒
mile|n|n 英里；一英里赛跑；较大的距离
milk|n v|n 牛奶；乳状物；v 榨取；挤…的奶
million|a n|n 百万；无数；adj 百万的；无数的
millionaire|a n|n 百万富翁；大富豪；adj 100万以上人口的
mind|n v|n 理智，精神；意见；智力；记忆力；v 介意；专心于；照料
mine|n v|n 矿，矿藏；矿山，矿井；地雷，水雷；v 开采，采掘；在…布雷
mineral|a n|n 矿物；（英）矿泉水；无机物；苏打水（常用复数表示）；adj 矿物的；矿质的
minibus|n v|n 面包车（等于microbus）；小型公共汽车；中客车；vi 乘中客车
minimum|a n|n 最小值；最低限度；最小化；最小量；adj 最小的；最低的
miniskirt|n|n 超短裙；迷你短裙
minister|n v|n 部长；大臣；牧师；v 执行牧师职务；辅助或伺候某人
ministry|n|n （政府的）部门
minority|a n|n 少数民族；少数派；未成年；adj 少数的；属于少数派的
minus|a n|prep 减，减去；n 负号，减号；不足；负数
minute|a n v|n 分，分钟；片刻，一会儿；备忘录，笔记；会议记录；v 将…记录下来
mirror|n v|n 镜子；真实的写照；榜样；v 反射；反映
miss|n|n 女士，小姐，年轻未婚女子
missile|a n|n 导弹；投射物；adj 导弹的；可投掷的；用以发射导弹的
mist|n v|n 薄雾；视线模糊不清；模糊不清之物；v 下雾；变模糊
mistake|n v|n 错误；误会；过失；v 弄错；误解
mistaken|a v|adj 错误的；弄错的；被误解的；v 弄错（mistake的过去分词）
misunderstand|v|v 误解；误会
mix|n v|v 配制；混淆；使混和；使结交；n 混合；混合物；混乱
mixture|n|n 混合；混合物；混合剂
mm|n|abbr 毫米（millimeter）；n 缅甸的域名
mobile|a n|adj 可移动的；机动的；易变的；非固定的；n 运动物体
model|a n v|n 模型；典型；模范；模特儿；样式；v 模拟；塑造；模仿
modem|n|n 调制解调器（等于modulator-demodulator）
modern|a n|adj 现代的，近代的；时髦的；n 现代人；有思想的人
modest|a n|adj 谦虚的，谦逊的；适度的；端庄的；羞怯的；n (Modest)人名；(罗)莫代斯特；(德)莫德斯特；(俄)莫杰斯特
mom|n|n 妈妈
moment|n|n 片刻，瞬间，时刻；重要，契机
mommy|n|n 妈咪
monday|n|n 星期一
money|n|n 钱；货币；财富
monitor|n v|n 监视器；监听器；监控器；显示屏；班长；v 监控
monkey|n v|n 猴子；顽童；v 胡闹；捣蛋
month|n|n 月，一个月的时间
monument|n v|n 纪念碑；历史遗迹；不朽的作品；vt 为…树碑
moon|n v|n 月亮；月球；月光；卫星；v 闲荡；出神
mop|n v|v 擦干；用拖把拖洗；n 拖把；蓬松的头发；鬼脸
moral|a n|adj 道德的；精神上的；品性端正的；n 道德；寓意
more|a d n|adv 更多；此外；更大程度地；adj 更多的；附加的
morning|n|n 早晨；黎明；初期
moscow|n|n 莫斯科（俄罗斯首都）
moslem|a n|adj 穆斯林的；伊斯兰教的；回教的；n 穆斯林；穆罕默德信徒；伊斯兰
mosquito|n|n 蚊子
most|a d n|adv 最；非常，极其；最多；几乎；adj 大部分的，多数的；最多的
mother|a n v|n 母亲；大娘；女修道院院长；v 生下；养育；像母亲般关怀或照管
motherland|n|n 祖国；母国
motivation|n|n 动机；积极性；推动
motor|a n v|n 发动机，马达；汽车；adj 汽车的；机动的
motorbike|n|n 摩托车
motorcycle|n v|n 摩托车；机动车；v 骑摩托车
motto|n|n 座右铭，格言；箴言
mountain|n|n 山；山脉
mountainous|a|adj 多山的；巨大的；山一般的
mourn|v|v 哀悼；忧伤；服丧
mouse|n v|n 鼠标；老鼠；胆小羞怯的人；v 探出
moustache|n|n 小胡子；髭；触须
mouth|n v|n 口，嘴；河口；v 做作地说，装腔作势地说；喃喃地说出
mouthful|n|n 一口，满口
move|n v|n 移动；步骤；迁居；策略；v 移动；搬家，迁移；离开
movement|n|n 运动；活动；运转；乐章
movie|a n|n 电影；电影院；电影业；adj 电影的
much|a d n|adv 非常，很；adj 大量的
mud|n v|v 弄脏；用泥涂；n 泥；诽谤的话；无价值的东西
muddy|a v|adj 泥泞的；模糊的；混乱的；v 使污浊；使沾上泥；把…弄糊涂
multiply|a d v|v 乘；使增加；使繁殖；使相乘；adv 多样地；复合地
murder|n v|v 谋杀，凶杀；n 谋杀，凶杀
museum|n|n 博物馆
mushroom|a n v|n 蘑菇，伞菌；蘑菇形物体；暴发户；adj 蘑菇的；蘑菇形的；迅速生长的
music|n|n 音乐，乐曲
musical|a n|adj 音乐的；悦耳的；n 音乐片
musician|n|n 音乐家
must|n|aux 必须，一定；可以，应当；很可能；n 绝对必要的事物；未发酵葡萄汁
mustard|n|n 芥末；芥菜；深黄色；强烈的兴趣
mutton|n|n 羊肉
my|n|pron 我的；int 哎呀（表示惊奇等）；喔唷
myself||pron 我自己；我亲自；我的正常的健康状况和正常情绪
nail|n v|v 钉；使固定；揭露；n [解剖] 指甲；钉子
name|a n v|n 名称，名字；姓名；名誉；v 命名，任命；指定；称呼；提名；叫出
narrow|a n v|adj 狭窄的，有限的；勉强的；精密的；度量小的；n 海峡；狭窄部分，隘路
nation|n|n 国家；民族；国民
national|a n|adj 国家的；国民的；民族的；国立的；n 国民
nationality|n|n 国籍，国家；民族；部落
nationwide|a d|adj 全国范围的；全国性的；adv 在全国
native|a n|adj 本国的；土著的；天然的；与生俱来的；天赋的；n 本地人；土产；当地居民
natural|a n|adj 自然的；物质的；天生的；不做作的；n 自然的事情；白痴；本位音
nature|n|n 自然；性质；本性；种类
navy|n|n 海军
near|a d|adj 近的；亲近的；近似的；adv 近；接近
nearby|a d|adj 附近的，邻近的；adv 在附近
nearly|d|adv 差不多，几乎；密切地
neat|a|adj 灵巧的；整洁的；优雅的；齐整的；未搀水的；平滑的
necessary|a n|adj 必要的；必需的；必然的；n 必需品
neck|n v|n 脖子；衣领；海峡；v 搂著脖子亲吻；变狭窄
necklace|n|n 项链
necktie|n|n 领带
need|n v|n 需要，要求；缺乏；必要之物；v 需要
needle|n v|n 针；指针；刺激；针状物；v 缝纫；做针线
negotiate|v|v 谈判，商议；转让；越过
neighbour|a n v|n n邻居;同胞；仁慈的人；v 邻接
neighbourhood|n|n 邻近；周围；邻居关系；附近一带
neither|a d|conj 也不；既不；adv 两个都不；既不……也不
nephew|n|n 侄子；外甥
nervous|a|adj 神经的；紧张不安的；强健有力的
nest|n v|n 巢，窝；安乐窝；温床；v 筑巢；嵌套
net|a n v|n 网；网络；净利；实价；v 编网
network|n|n 网络；广播网；网状物
never|d|adv 从未；决不
new|a d n|adj 新的，新鲜的；更新的；初见的；adv 新近
news|n|n 新闻，消息；新闻报导
newspaper|n|n 报纸
next|a d n|adv 然后；下次；其次；adj 下一个的；其次的；贴近的
nice|a n|adj 精密的；美好的；细微的；和蔼的；n (Nice)人名；(英)尼斯
niece|n|n 外甥女，侄女
night|a n|n 夜晚，晚上；黑暗，黑夜；adj 夜晚的，夜间的
nine|a n|n 九，九个；num 九；九个
nineteen||num 十九
ninety|a n|n 九十；adj 九十的；九十岁的
ninth|a n|num 第九；adj 第九的；九分之一的
no|a d n|adv 不；adj 没有；不是
noble|a n v|adj 高尚的；贵族的；惰性的；宏伟的；n 贵族
nobody|n|pron 无人，没有人；没有任何人；n 无名小卒；小人物
nod|n v|n 点头；打盹；摆动；v 点头；点头表示
noise|n v|n [环境] 噪音；响声；杂音；v 谣传
noisily|d|adv 吵闹地，喧闹地
noisy|a|adj 嘈杂的；喧闹的；聒噪的
none|a d n|pron 没有人；一个也没有；没有任何东西；adj 没有的，一点没有的
noodle|n|n 面条；笨蛋
noon|n|n 中午；正午；全盛期
nor|d n|conj 也不；也不是；adv 也不；也没有
normal|a n|adj 正常的；正规的，标准的；n 正常；标准；常态
north|a d n|n 北，北方；adj 北方的；朝北的
northeast|a d n|adj 东北的；向东北的；来自东北的；n 东北
northern|a n|adj 北部的；北方的；n 北部方言
northwards|d|adv 向北
northwest|a d n|adj 西北的；向西北的；来自西北的；n 西北
nose|n v|n 鼻子；嗅觉；突出的部分；探问；v 嗅；用鼻子触
not|d n|adv 表示否定，不；n “非”（计算机中逻辑运算的一种）
note|n v|n 笔记；音符；票据；注解；纸币；便笺；照会；调子；v 注意；记录；注解
notebook|n|n 笔记本，笔记簿；手册
nothing|d n|neg 没什么；毫不；n 无；零；不关紧要之事
notice|n v|n 通知，布告；注意；公告；v 通知；注意到；留心
novel|a n|adj 新奇的；异常的；n 小说
novelist|n|n 小说家
november|n|n 十一月
now|a d n|adv 现在；如今；立刻；adj 现在的
nowadays|d n|adv 现今；时下；n 当今
nowhere|a d n|adv 无处；任何地方都不；毫无结果；n 无处；任何地方；无名之地
nuclear|a|adj 原子能的；[细胞] 细胞核的；中心的；原子核的
numb|a v|v 使麻木；使发愣；使失去感觉；adj 麻木的；发愣的
number|n v|n 数；（杂志等的）期；号码；数字；算术；v 计入；总数达到
nurse|n v|v 看护，护理；照顾；培养；给…喂奶；n 护士；奶妈，保姆
nursery|n|n 苗圃；托儿所；温床
nursing|n v|n 护理；看护；养育；v 看护；养育（nurse的ing形式）
nut|n v|n 螺母，螺帽；坚果；难对付的人，难解的问题；v 采坚果
nutrition|n|n 营养，营养学；营养品
nylon|n|n 尼龙，[纺] 聚酰胺纤维；尼龙袜
obey|n v|v 服从，听从；按照……行动；n (Obey)人名；(英、法)奥贝
object|n v|n 目标；物体；客体；宾语；v 提出…作为反对的理由
observe|v|v 庆祝
obtain|v|v 获得；流行
obvious|a|adj 明显的；显著的；平淡无奇的
occupation|n|n 职业；占有；消遣；占有期
occur|v|v 发生；出现；存在
oceania|n|n 大洋洲
october|n|n [天] 十月
of||prep 关于；属于；…的；由…组成的
off|a d|prep 离开；脱落；adv 切断；走开
offence|n|n 犯罪；违反；过错；攻击
offer|n v|v 提供；出价；试图；n 提议；出价；意图；录取通知书
office|n|n 办公室；政府机关；官职；营业处
officer|n v|n 军官，警官；公务员，政府官员；船长；v 指挥
offshore|a d|adj 离岸的；[海洋] 近海的；吹向海面的；adv 向海面，向海
often|d|adv 常常，时常
oh||int 哦；哎呀（表示惊讶或恐惧等）
oil|n v|n 油；石油；油画颜料；v 加油；涂油；使融化
oilfield|n|n 油田
ok|a d n v|adj 好的；不错的；adv 行；很好
old|a n|adj 陈旧的，古老的；年老的；n 古时
omelette|n|n 煎蛋卷
on|a d n|adv 向前地；作用中，行动中；继续着；prep 向，朝……；关于；在……之上；在……时候
once|d n|adv 一次；曾经；conj 一旦
one|a n|pron 一个人；任何人；adj 一的；唯一的
oneself||pron 自己；亲自
onion|n|n 洋葱；洋葱头
only|a d|adv 只，仅仅；不料；adj 唯一的，仅有的；最合适的
onto|a|prep 在…之上；对…了解；映射到…上；adj 映射的；自身的；映成的
open|a n v|adj 公开的；敞开的；空旷的；坦率的；营业着的；v 开始；展现
opener|n|n [五金] 开启工具；开启的人
opening|a n v|n 开始；机会；通路；空缺的职位；adj 开始的
opera|n|n 歌剧；歌剧院；歌剧团
operate|v|v 运转；动手术；起作用
operation|n|n 操作；经营；[外科] 手术；[数][计] 运算
operator|n|n 经营者；操作员；话务员；行家
opinion|n|n 意见；主张
oppose|v|v 反对；对抗，抗争
opposite|a d n|adj 相反的；对面的；对立的；n 对立面；反义词
optimistic|a|adj 乐观的；乐观主义的
optional|a n|adj 可选择的，随意的；n 选修科目
or|n|conj 或，或者；还是；n (Or)人名；(中)柯(广东话·威妥玛)；(柬)奥；(土、匈、土库、阿塞、瑞典)奥尔
oral|a n|adj 口头的，口述的；n 口试
orange|a n|adj 橙色的；橘色的；n 橙；橙色；桔子
orbit|n v|n 轨道；眼眶；势力范围；生活常规；v 盘旋；绕轨道运行
order|n v|n 命令；顺序；规则；[贸易] 定单；v 命令；整理；定购
ordinary|a n|adj 普通的；平凡的；平常的；n 普通；平常的人（或事）
organ|n|n [生物] 器官；机构；风琴；管风琴；嗓音
organise|v|v 组织起来；组织工会
organiser|n|n 组织者；发起人；形成体（等于organizer）
organization|n|n 组织；机构；体制；团体
origin|n|n 起源；原点；出身；开端
other|a|adj 其他的，另外的；pron 另外一个
otherwise|a d|adv 否则；另外；在其他方面；adj 另外的；其他方面的；原本，本来
ottawa|n|n 渥太华（加拿大首都）
ouch|n|n 扣环；int 哎哟（突然疼痛时发出的声音）
ought|v|aux 应该，应当；大概；vi 应该，应当；大概
our||pron 我们的
ours|n|pron 我们的；n (Ours)人名；(法)乌尔斯
ourselves||pron 我们自己；我们亲自
out|a d n v|adv 出现；在外；出局；出声地；不流行地；adj 外面的；出局的；下台的
outcome|n|n 结果，结局；成果
outdoors|a d n|adv 在户外；n 户外
outer|a n|adj 外面的，外部的；远离中心的；n 环外命中
outgoing|a n v|adj 对人友好的，开朗的；出发的，外出的；即将离职的；乐于助人的；n 外出；流出；开支
outing|a n v|n 远足；短途旅游；体育比赛；adj 远足适用的
outline|n v|n 轮廓；大纲；概要；略图；v 概述；略述；描画…轮廓
output|n v|n 输出，输出量；产量；出产；v 输出
outside|a d n|adj 外面的，外部的；外来的；n 外部；外观
outspoken|a|adj 坦率的，直言不讳的
outstanding|a n|adj 杰出的；显著的；未解决的；未偿付的；n 未偿贷款
